account_id,industry,employees,annual_revenue_m,account_tier,existing_customer,tech_stack_maturity,website_visits_30d,pricing_page_visits_30d,content_downloads_30d,competitor_page_visits_30d,decision_maker_engaged,num_stakeholders_engaged,days_since_last_visit,fit_score,intent_score,opportunity_created
ACC1016,Financial Services,89,17.8,SMB,0,6.5,13,2,2,0,0,0,1,55.4,38.1,0
ACC1017,Healthcare,415,92.1,Mid-Market,0,6.6,12,2,1,1,0,2,0,36.5,43.9,0
ACC1018,Financial Services,69,6.2,SMB,0,1.7,3,1,1,0,0,0,15,39.3,8.3,0
ACC1019,Technology,40,8.3,SMB,1,5.2,3,2,1,1,0,0,9,39.6,21.4,0
ACC1020,Healthcare,108,24.3,Mid-Market,1,2.7,5,0,5,1,1,2,7,9.9,49.5,0
ACC1021,Technology,750,96.5,Mid-Market,0,7.3,10,2,2,3,0,3,5,63.8,55.6,0
ACC1022,Technology,844,159.4,Mid-Market,0,7.1,8,2,1,2,0,1,12,64.0,35.3,0
ACC1023,Financial Services,476,63.5,Mid-Market,0,3.7,11,4,3,1,0,2,11,49.5,57.7,0
ACC1024,Financial Services,628,152.5,Mid-Market,0,4.0,4,2,4,0,1,1,5,51.8,48.8,1
ACC1025,Manufacturing,478,41.0,Mid-Market,1,4.6,11,2,3,0,0,2,2,19.4,44.6,0
ACC1026,Technology,106,18.9,Mid-Market,0,1.0,2,1,1,1,1,2,18,37.3,31.0,0
ACC1027,Healthcare,429,46.5,Mid-Market,0,6.2,6,1,2,1,0,1,1,35.3,29.9,0
ACC1028,Healthcare,692,139.1,Mid-Market,0,5.0,3,2,2,0,0,0,7,33.7,21.2,0
ACC1029,Technology,652,71.7,Mid-Market,0,7.4,6,1,0,1,0,3,11,63.3,24.0,0
ACC1030,Healthcare,1147,137.7,Enterprise,1,3.3,8,0,1,0,0,2,10,21.0,17.6,0
ACC1031,Technology,614,100.7,Mid-Market,0,4.3,3,2,1,0,0,5,9,52.7,31.1,0
ACC1032,Technology,386,90.9,Mid-Market,0,2.5,11,2,0,2,0,2,10,44.7,39.5,0
ACC1033,Education,983,114.0,Mid-Market,0,3.5,4,2,2,0,0,2,20,31.3,23.4,0
ACC1034,Education,236,24.7,Mid-Market,1,3.1,6,0,2,1,0,1,4,12.3,22.8,0
ACC1035,Retail,77,16.1,SMB,0,7.5,6,3,2,2,1,4,9,36.5,66.7,1
ACC1036,Financial Services,197,32.5,Mid-Market,1,4.1,7,3,2,0,0,0,11,37.3,31.3,0
ACC1037,Technology,92,21.6,SMB,0,5.7,3,2,1,0,0,0,8,52.7,16.9,0
ACC1038,Manufacturing,101,10.6,Mid-Market,1,4.7,3,0,1,1,0,4,23,16.4,15.9,0
ACC1039,Financial Services,202,38.3,Mid-Market,0,3.0,5,6,2,0,0,4,10,44.8,58.0,0
ACC1040,Technology,87,10.4,SMB,0,5.2,13,3,2,1,0,4,5,51.0,59.0,0
ACC1041,Financial Services,163,17.4,Mid-Market,0,6.7,7,4,1,1,0,1,18,56.7,38.3,0
ACC1042,Technology,20,3.9,SMB,0,3.1,5,3,1,1,0,3,6,43.5,40.1,0
ACC1043,Retail,322,58.3,Mid-Market,0,7.1,13,2,4,2,0,2,7,37.3,59.2,1
ACC1044,Technology,245,51.0,Mid-Market,1,3.8,13,2,1,0,0,0,8,36.8,31.5,0
ACC1045,Manufacturing,84,11.1,SMB,0,4.5,6,2,2,0,0,2,3,26.7,33.0,0
ACC1046,Financial Services,576,89.9,Mid-Market,0,6.6,9,2,2,0,0,1,12,60.0,30.9,0
ACC1047,Healthcare,827,123.2,Mid-Market,0,4.2,2,3,3,0,0,2,1,32.2,37.7,1
ACC1048,Healthcare,30,7.4,SMB,0,5.6,7,1,3,0,0,2,20,29.8,25.9,0
ACC1049,Technology,90,11.7,SMB,1,4.9,3,2,1,2,1,1,14,39.1,41.9,0
ACC1050,Education,90,11.7,SMB,0,5.8,5,1,1,0,0,0,4,31.0,15.5,0
ACC1051,Manufacturing,72,10.1,SMB,1,1.0,9,0,1,2,0,3,2,3.9,34.8,0
ACC1052,Education,719,126.5,Mid-Market,1,1.8,5,0,0,2,1,4,4,12.3,41.9,0
ACC1053,Retail,190,23.4,Mid-Market,0,6.7,10,2,1,1,0,2,16,34.9,34.7,0
ACC1054,Healthcare,173,40.8,Mid-Market,0,7.6,4,2,3,1,0,3,0,37.7,42.9,0
ACC1055,Education,18,2.3,SMB,1,3.7,6,2,2,1,0,3,6,12.4,39.6,0
ACC1056,Technology,558,129.6,Mid-Market,0,5.0,7,1,0,0,0,1,2,54.5,18.2,0
ACC1057,Technology,48,4.7,SMB,0,6.1,9,3,1,0,0,2,20,53.7,32.7,0
ACC1058,Technology,264,50.6,Mid-Market,0,6.9,9,4,2,0,0,2,5,58.2,48.3,1
ACC1059,Financial Services,350,82.0,Mid-Market,0,1.4,4,2,1,0,0,3,11,40.8,26.0,0
ACC1060,Financial Services,1434,155.9,Enterprise,0,3.7,12,2,1,1,0,2,4,58.0,42.3,0
ACC1061,Technology,44,10.8,SMB,0,4.8,5,2,1,2,0,3,4,49.3,39.9,0
ACC1062,Retail,5,0.8,SMB,0,6.9,6,1,2,0,0,0,3,33.9,21.3,0
ACC1063,Financial Services,310,74.6,Mid-Market,1,10.0,12,0,5,1,0,1,11,57.9,40.6,0
ACC1064,Technology,2541,495.6,Enterprise,0,5.0,0,1,3,2,0,2,33,72.0,20.3,0
ACC1065,Healthcare,1224,160.7,Enterprise,0,2.7,3,1,3,1,0,2,2,30.8,31.9,0
ACC1066,Technology,321,36.0,Mid-Market,0,6.3,15,1,2,1,0,1,10,56.7,39.5,0
ACC1067,Retail,129,17.0,Mid-Market,0,8.1,7,1,0,0,1,3,3,39.0,38.3,1
ACC1068,Technology,698,66.9,Mid-Market,0,5.7,8,2,3,0,0,2,7,58.1,38.2,0
ACC1069,Education,69,7.2,SMB,0,3.7,7,1,0,2,0,0,7,23.9,23.1,0
ACC1070,Manufacturing,454,44.4,Mid-Market,0,7.4,10,3,3,1,0,2,5,39.5,52.7,0
ACC1071,Technology,472,71.7,Mid-Market,0,6.8,12,4,3,0,0,3,6,59.7,59.1,1
ACC1072,Technology,970,208.8,Mid-Market,0,3.4,7,1,1,1,0,3,21,52.9,25.5,1
ACC1073,Retail,8844,920.1,Enterprise,1,6.3,10,4,1,0,0,2,0,64.9,47.8,1
ACC1074,Manufacturing,407,41.6,Mid-Market,0,7.5,8,2,3,0,0,2,17,39.4,34.3,0
ACC1075,Manufacturing,126,23.9,Mid-Market,1,7.9,7,1,2,0,0,0,6,27.2,21.6,0
ACC1076,Manufacturing,236,26.8,Mid-Market,1,5.4,7,2,1,0,0,2,4,19.9,30.1,0
ACC1077,Technology,24,2.3,SMB,0,4.8,3,2,1,0,0,1,1,49.2,22.5,0
ACC1078,Financial Services,99,10.7,SMB,0,8.0,13,1,1,1,0,2,16,60.4,33.3,0
ACC1079,Technology,143,33.9,Mid-Market,0,3.1,3,2,1,2,1,4,8,44.6,53.0,1
ACC1080,Retail,123,27.0,Mid-Market,1,6.4,8,2,1,1,0,3,13,22.3,35.9,0
ACC1081,Healthcare,298,41.8,Mid-Market,0,2.8,6,2,2,0,0,2,3,22.9,33.0,0
ACC1082,Financial Services,84,16.1,SMB,0,7.6,9,1,1,2,1,1,4,59.0,48.7,0
ACC1083,Technology,1050,179.9,Enterprise,0,5.0,4,1,0,0,0,1,24,58.9,5.3,0
ACC1084,Financial Services,244,47.6,Mid-Market,0,8.0,17,1,1,0,0,1,32,61.7,25.1,0
ACC1085,Financial Services,241,47.2,Mid-Market,0,6.5,14,3,2,2,0,3,13,56.7,59.3,0
ACC1086,Manufacturing,159,29.7,Mid-Market,0,3.1,9,2,1,0,0,0,13,22.7,23.7,0
ACC1087,Healthcare,299,37.4,Mid-Market,0,8.3,3,1,1,0,0,4,11,41.1,21.6,0
ACC1088,Retail,715,61.9,Mid-Market,0,8.6,10,2,1,1,0,3,8,45.8,40.8,0
ACC1089,Financial Services,79,12.4,SMB,0,7.3,5,1,0,0,0,2,9,57.9,15.5,0
ACC1090,Technology,104,24.1,Mid-Market,0,4.0,3,4,1,0,0,1,33,47.2,21.8,0
ACC1091,Manufacturing,164,29.0,Mid-Market,0,4.9,10,1,3,0,0,1,13,28.7,30.0,0
ACC1092,Manufacturing,42,9.3,SMB,0,5.8,7,1,1,0,0,2,10,30.6,22.0,0
ACC1093,Healthcare,84,20.9,SMB,0,4.1,3,5,2,1,0,4,2,25.3,57.3,0
ACC1094,Manufacturing,131,14.1,Mid-Market,1,8.9,9,0,3,2,0,3,37,30.6,29.0,0
ACC1095,Financial Services,762,150.6,Mid-Market,0,5.8,6,3,2,1,0,0,7,59.0,36.3,1
ACC1096,Healthcare,344,67.0,Mid-Market,0,1.0,9,2,0,0,1,2,28,17.4,34.4,0
ACC1097,Financial Services,314,77.4,Mid-Market,0,6.2,12,1,1,2,0,1,12,56.4,35.3,0
ACC1098,Technology,739,182.9,Mid-Market,0,4.8,5,3,0,0,0,1,0,55.5,27.8,0
ACC1099,Technology,204,40.1,Mid-Market,0,5.4,9,3,0,0,1,4,7,52.7,54.3,1
ACC1100,Technology,406,49.3,Mid-Market,0,4.8,3,4,0,0,0,5,22,52.5,33.9,0
ACC1101,Healthcare,213,46.0,Mid-Market,0,7.1,9,2,3,0,0,2,0,36.4,42.4,0
ACC1102,Financial Services,345,33.9,Mid-Market,0,7.7,12,2,2,0,0,1,20,61.6,32.2,0
ACC1103,Healthcare,114,24.2,Mid-Market,0,6.1,14,1,1,2,0,0,9,32.2,36.5,0
ACC1104,Retail,10,2.3,SMB,0,4.8,5,2,4,1,1,1,0,27.0,57.1,0
ACC1105,Technology,205,29.7,Mid-Market,0,5.4,6,2,2,0,0,0,4,52.7,26.7,0
ACC1106,Financial Services,1555,291.1,Enterprise,0,5.5,9,5,1,2,0,2,0,65.0,62.0,1
ACC1107,Manufacturing,815,124.8,Mid-Market,0,3.9,6,2,1,0,0,2,0,31.1,30.2,0
ACC1108,Technology,858,132.5,Mid-Market,1,6.7,6,1,0,2,1,1,22,51.8,33.4,0
ACC1109,Technology,1220,162.0,Enterprise,0,6.4,13,2,2,0,0,2,13,65.0,39.3,1
ACC1110,Technology,274,57.4,Mid-Market,1,8.6,9,2,2,1,0,1,3,52.9,39.3,1
ACC1111,Technology,316,75.6,Mid-Market,0,8.0,11,2,2,0,0,2,1,62.3,41.1,0
ACC1112,Education,109,26.2,Mid-Market,0,4.1,4,2,4,0,1,2,0,25.5,53.7,0
ACC1113,Retail,162,17.8,Mid-Market,0,7.1,13,3,0,1,0,0,24,35.9,32.1,0
ACC1114,Healthcare,544,124.4,Mid-Market,0,3.6,4,3,3,1,1,3,9,27.7,59.9,1
ACC1115,Retail,1170,240.3,Enterprise,0,6.9,11,1,1,1,1,2,1,44.2,50.8,0
ACC1116,Retail,204,25.1,Mid-Market,0,4.5,11,6,1,0,1,1,11,27.7,68.4,0
ACC1117,Technology,136,12.4,Mid-Market,0,3.5,8,3,2,3,0,3,68,45.9,34.0,0
ACC1118,Retail,244,30.6,Mid-Market,0,6.1,12,1,1,1,0,4,15,33.4,38.0,0
ACC1119,Healthcare,534,125.5,Mid-Market,0,1.0,7,2,2,1,0,1,5,19.0,35.6,0
ACC1120,Retail,37,6.9,SMB,0,2.0,7,1,2,1,0,2,16,18.0,28.4,0
ACC1121,Retail,12,2.4,SMB,0,5.1,12,3,2,1,0,2,13,28.0,48.6,0
ACC1122,Financial Services,119,14.7,Mid-Market,1,5.7,11,2,0,2,0,0,0,42.0,37.6,0
ACC1123,Technology,50,10.1,SMB,0,4.8,5,1,2,2,0,0,25,49.4,21.0,0
ACC1124,Technology,126,10.7,Mid-Market,0,2.3,6,2,2,1,0,1,21,41.8,27.9,0
ACC1125,Financial Services,201,28.9,Mid-Market,0,3.9,5,5,2,1,0,1,8,47.7,49.1,0
ACC1126,Retail,135,25.2,Mid-Market,0,6.3,9,1,3,1,1,3,7,33.1,56.3,1
ACC1127,Retail,1616,169.4,Enterprise,0,6.7,9,3,2,0,0,3,2,47.4,46.5,0
ACC1128,Technology,374,82.2,Mid-Market,1,5.5,4,4,0,1,0,1,17,43.5,30.4,0
ACC1129,Healthcare,361,43.3,Mid-Market,0,7.8,10,2,3,1,0,3,5,40.0,49.8,0
ACC1130,Financial Services,549,104.8,Mid-Market,1,6.3,7,1,1,0,0,1,8,47.7,19.8,0
ACC1131,Technology,55,8.2,SMB,0,4.0,6,1,0,2,0,4,1,46.8,35.7,0
ACC1132,Technology,944,171.2,Mid-Market,0,4.9,9,2,1,0,0,6,2,57.6,45.6,0
ACC1133,Financial Services,221,21.7,Mid-Market,0,2.7,3,1,3,1,0,3,42,44.0,19.2,0
ACC1134,Education,585,48.5,Mid-Market,0,5.3,8,3,2,3,0,2,6,33.7,55.2,0
ACC1135,Financial Services,60,14.1,SMB,0,7.7,9,3,1,1,0,2,16,59.1,39.1,1
ACC1136,Healthcare,32,4.0,SMB,0,6.9,9,2,1,1,0,3,17,34.1,35.8,0
ACC1137,Manufacturing,708,155.3,Mid-Market,0,8.3,12,3,1,0,0,2,39,44.7,29.7,0
ACC1138,Financial Services,399,99.7,Mid-Market,1,4.9,6,1,1,0,1,4,40,41.8,29.3,1
ACC1139,Education,75,8.7,SMB,0,8.2,11,1,0,1,1,3,6,38.8,47.9,1
ACC1140,Education,78,9.8,SMB,0,5.1,10,2,2,2,0,0,30,28.6,32.2,0
ACC1141,Technology,1056,203.5,Enterprise,0,8.4,13,1,0,0,0,2,4,70.2,29.2,1
ACC1142,Financial Services,52,12.7,SMB,0,5.5,6,1,2,0,1,2,9,51.7,39.4,0
ACC1143,Financial Services,2070,487.9,Enterprise,1,6.9,9,2,0,0,1,4,17,63.1,44.6,0
ACC1144,Technology,75,12.4,SMB,1,8.5,10,1,0,0,0,3,24,50.8,19.9,0
ACC1145,Technology,561,120.7,Mid-Market,0,5.1,2,2,4,0,0,4,7,54.9,39.2,0
ACC1146,Healthcare,159,16.4,Mid-Market,0,5.9,4,4,1,1,0,2,5,31.9,42.0,0
ACC1147,Healthcare,536,131.9,Mid-Market,0,8.1,16,2,1,0,0,3,13,42.5,42.7,0
ACC1148,Technology,120,29.3,Mid-Market,0,5.2,6,2,1,3,0,3,6,51.3,45.5,1
ACC1149,Technology,198,21.4,Mid-Market,0,2.9,10,2,2,1,0,0,11,44.4,34.7,0
ACC1150,Retail,258,33.8,Mid-Market,0,9.8,10,2,0,0,0,1,16,45.7,23.0,0
ACC1151,Technology,66,6.4,SMB,1,4.6,5,1,0,1,1,3,18,37.8,34.4,0
ACC1152,Technology,641,80.9,Mid-Market,1,5.8,6,0,1,2,0,0,2,46.9,21.7,0
ACC1153,Financial Services,125,27.3,Mid-Market,0,7.8,8,4,0,0,0,1,8,60.0,34.9,0
ACC1154,Education,181,26.1,Mid-Market,0,4.3,8,1,2,0,1,3,0,26.8,48.8,0
ACC1155,Technology,67,6.4,SMB,1,3.5,3,1,1,1,0,1,15,34.2,16.1,0
ACC1156,Manufacturing,8,1.1,SMB,0,6.0,3,3,3,0,1,6,1,30.9,65.5,1
ACC1157,Manufacturing,190,46.9,Mid-Market,0,1.9,3,2,3,0,0,3,20,19.0,28.8,0
ACC1158,Technology,5633,1053.6,Enterprise,0,4.9,5,3,0,0,1,2,5,93.4,43.4,1
ACC1159,Manufacturing,678,102.2,Mid-Market,0,6.0,5,1,3,2,0,2,1,36.9,40.1,0
ACC1160,Financial Services,238,25.8,Mid-Market,1,5.0,9,0,2,0,0,0,15,40.7,15.1,1
ACC1161,Healthcare,173,42.8,Mid-Market,0,2.4,5,6,1,1,0,2,2,20.5,56.3,0
ACC1162,Healthcare,251,55.1,Mid-Market,0,8.7,8,1,0,0,1,2,5,42.0,36.1,1
ACC1163,Healthcare,498,63.7,Mid-Market,0,5.7,5,4,2,0,0,0,8,34.3,35.4,1
ACC1164,Technology,52,4.8,SMB,1,8.4,11,1,1,0,0,2,4,50.3,30.1,0
ACC1165,Retail,1041,93.3,Enterprise,1,5.0,9,1,1,0,0,0,1,25.7,22.5,0
ACC1166,Financial Services,620,62.3,Mid-Market,0,3.7,7,1,1,1,1,2,5,50.8,43.4,1
ACC1167,Technology,622,111.2,Mid-Market,0,6.0,9,3,2,0,0,1,1,58.4,41.1,1
ACC1168,Technology,432,102.8,Mid-Market,0,5.1,8,2,1,2,0,4,12,53.8,44.1,0
ACC1169,Healthcare,251,41.3,Mid-Market,0,3.1,12,2,3,0,0,1,1,23.5,43.5,0
ACC1170,Manufacturing,586,130.9,Mid-Market,0,8.4,9,1,4,1,0,2,6,44.0,43.0,0
ACC1171,Technology,528,82.3,Mid-Market,0,4.3,3,1,4,1,0,0,8,52.0,27.6,0
ACC1172,Healthcare,154,30.9,Mid-Market,0,1.8,4,1,2,0,0,2,29,18.3,14.0,0
ACC1173,Technology,116,23.7,Mid-Market,0,8.2,13,2,0,0,0,1,0,61.2,33.7,0
ACC1174,Healthcare,279,30.6,Mid-Market,0,4.5,6,4,2,0,0,0,26,28.4,29.9,0
ACC1175,Technology,1833,259.2,Enterprise,1,4.3,7,2,2,0,0,4,2,52.4,40.7,0
ACC1176,Manufacturing,48,9.0,SMB,0,2.0,4,2,2,2,0,2,18,18.1,34.0,0
ACC1177,Financial Services,36,3.3,SMB,0,9.0,19,3,3,1,0,1,0,63.2,64.9,1
ACC1178,Education,303,42.9,Mid-Market,1,2.9,5,2,1,2,0,2,44,12.3,21.4,0
ACC1179,Technology,261,44.6,Mid-Market,0,5.6,2,1,4,0,1,5,16,53.9,47.4,1
ACC1180,Financial Services,306,76.3,Mid-Market,0,7.3,6,2,4,3,0,1,0,59.9,53.7,0
ACC1181,Technology,336,54.0,Mid-Market,0,6.3,9,4,1,1,0,2,2,56.9,50.4,0
ACC1182,Education,183,40.0,Mid-Market,0,5.4,6,2,3,3,0,0,7,30.5,44.1,0
ACC1183,Retail,1697,260.4,Enterprise,0,2.1,2,2,1,3,0,2,7,32.9,36.3,0
ACC1184,Technology,30,6.5,SMB,0,3.9,5,2,0,1,1,3,9,46.2,43.8,0
ACC1185,Manufacturing,83,15.0,SMB,1,5.9,4,1,3,1,0,3,6,20.2,34.7,0
ACC1186,Retail,213,49.1,Mid-Market,0,3.9,6,2,1,0,0,1,13,25.8,22.2,0
ACC1187,Healthcare,28,4.2,SMB,0,5.9,4,3,3,1,0,0,4,30.8,38.4,0
ACC1188,Healthcare,194,35.4,Mid-Market,0,6.9,7,2,1,1,0,1,1,35.6,33.3,0
ACC1189,Technology,2121,396.8,Enterprise,0,7.4,8,1,1,1,0,2,0,76.3,32.2,0
ACC1190,Technology,251,37.9,Mid-Market,0,3.0,6,4,1,2,0,1,3,45.2,47.6,0
ACC1191,Retail,330,34.5,Mid-Market,0,9.9,10,1,0,1,0,0,5,46.7,23.4,0
ACC1192,Retail,47,4.5,SMB,0,7.0,13,2,1,3,0,2,10,34.6,51.2,0
ACC1193,Healthcare,109,9.0,Mid-Market,0,5.5,2,3,1,2,1,4,16,30.2,54.2,1
ACC1194,Financial Services,150,34.3,Mid-Market,0,7.7,14,1,2,2,0,1,2,59.9,46.0,0
ACC1195,Financial Services,161,19.4,Mid-Market,0,10.0,13,1,1,1,0,1,6,67.6,34.2,0
ACC1196,Manufacturing,1294,150.0,Enterprise,1,2.6,6,1,2,1,1,4,2,20.0,52.9,0
ACC1197,Retail,505,103.6,Mid-Market,0,5.0,4,3,4,0,0,2,30,32.0,33.2,1
ACC1198,Retail,57,7.7,SMB,0,1.0,6,3,1,2,0,2,10,14.8,42.0,1
ACC1199,Manufacturing,337,56.0,Mid-Market,0,5.9,3,2,2,1,0,1,11,33.5,27.4,0
ACC1200,Healthcare,467,50.3,Mid-Market,0,6.2,7,2,1,1,0,1,7,35.7,30.9,0
ACC1201,Technology,1077,261.9,Enterprise,0,5.4,5,1,1,1,1,4,3,60.4,47.1,0
ACC1202,Technology,1909,429.1,Enterprise,0,4.2,6,1,0,0,0,0,2,63.8,13.9,0
ACC1203,Retail,65,14.7,SMB,0,1.4,8,2,3,1,1,2,10,16.2,56.6,0
ACC1204,Healthcare,85,12.7,SMB,0,6.2,7,5,1,1,0,0,25,32.3,38.5,0
ACC1205,Technology,47,9.9,SMB,1,8.4,8,2,3,1,0,5,2,50.2,53.9,1
ACC1206,Technology,180,18.8,Mid-Market,0,4.3,5,1,1,2,0,1,8,48.9,26.6,0
ACC1207,Manufacturing,448,36.5,Mid-Market,1,6.4,9,0,1,2,0,3,7,25.1,32.9,0
ACC1208,Technology,883,73.6,Mid-Market,0,2.4,5,2,1,2,1,1,10,48.8,46.3,0
ACC1209,Technology,221,39.7,Mid-Market,0,6.4,9,3,2,0,0,3,8,56.2,44.2,0
ACC1210,Healthcare,161,25.3,Mid-Market,0,4.7,4,2,2,0,0,2,3,28.0,30.0,0
ACC1211,Manufacturing,298,50.1,Mid-Market,1,4.0,12,0,1,1,0,1,11,15.9,25.0,0
ACC1212,Manufacturing,82,6.7,SMB,1,4.0,3,0,1,2,0,3,3,14.0,25.7,0
ACC1213,Technology,3701,562.0,Enterprise,0,4.7,0,3,2,1,0,4,10,81.3,38.0,0
ACC1214,Manufacturing,30,6.1,SMB,0,6.3,13,1,1,0,1,1,3,32.1,45.2,0
ACC1215,Technology,311,48.3,Mid-Market,0,2.9,14,3,3,0,0,0,0,45.4,49.8,1
ACC1216,Financial Services,3397,694.6,Enterprise,0,4.7,6,3,0,0,0,0,1,78.6,26.0,0
ACC1217,Manufacturing,246,29.4,Mid-Market,0,5.4,5,1,0,0,1,3,17,31.1,30.0,0
ACC1218,Healthcare,191,41.7,Mid-Market,1,3.3,3,0,0,1,0,5,1,12.6,23.5,0
ACC1219,Retail,153,27.5,Mid-Market,0,9.1,4,2,0,0,1,1,4,42.5,33.6,0
ACC1220,Manufacturing,193,22.4,Mid-Market,0,3.8,7,4,1,2,0,3,3,25.3,54.9,0
ACC1221,Healthcare,1457,175.2,Enterprise,0,4.2,6,3,0,1,0,2,0,37.8,37.1,0
ACC1222,Technology,13,2.4,SMB,0,3.5,5,4,1,0,0,3,9,44.8,39.9,1
ACC1223,Financial Services,1796,397.1,Enterprise,0,9.1,10,1,1,0,0,1,16,79.0,21.1,0
ACC1224,Technology,38,5.7,SMB,0,6.6,7,3,3,3,0,1,48,55.2,38.3,0
ACC1225,Technology,173,21.4,Mid-Market,1,3.6,10,2,1,0,0,4,27,35.5,31.4,0
ACC1226,Education,140,31.8,Mid-Market,0,7.7,4,2,5,1,0,1,0,37.7,44.9,0
ACC1227,Financial Services,525,101.7,Mid-Market,0,5.9,2,2,1,1,0,3,2,57.2,31.4,0
ACC1228,Retail,30,4.7,SMB,0,6.0,8,2,1,0,1,2,5,31.1,45.9,0
ACC1229,Healthcare,446,72.7,Mid-Market,0,4.8,7,1,1,0,0,2,20,30.8,18.0,0
ACC1230,Manufacturing,3400,390.1,Enterprise,0,4.0,7,1,2,2,0,0,4,54.2,32.1,0
ACC1231,Healthcare,41,7.6,SMB,0,6.2,14,2,3,0,0,1,8,31.9,43.7,0
ACC1232,Healthcare,313,44.1,Mid-Market,0,4.4,7,2,1,0,0,1,10,28.3,24.9,0
ACC1233,Financial Services,103,25.7,Mid-Market,1,9.1,10,2,1,0,0,2,3,53.1,34.9,0
ACC1234,Technology,425,68.7,Mid-Market,0,3.0,8,1,0,0,0,3,8,46.7,23.2,0
ACC1235,Manufacturing,250,40.7,Mid-Market,0,8.6,11,2,1,3,0,2,0,41.7,52.2,0
ACC1236,Technology,106,18.7,Mid-Market,1,5.3,3,1,0,1,0,1,6,40.5,15.7,0
ACC1237,Technology,461,108.7,Mid-Market,0,6.1,11,2,1,0,0,4,4,57.3,41.9,1
ACC1238,Healthcare,2554,552.0,Enterprise,1,7.2,12,0,1,0,0,1,4,46.3,22.8,0
ACC1239,Technology,190,29.8,Mid-Market,0,4.2,5,2,0,3,1,2,2,48.6,53.4,0
ACC1240,Education,623,126.0,Mid-Market,0,7.2,13,3,1,2,0,1,17,40.3,46.5,0
ACC1241,Education,45,8.1,SMB,1,1.0,4,2,3,0,0,0,21,3.7,21.1,0
ACC1242,Retail,70,11.5,SMB,1,4.1,9,1,4,3,0,2,21,14.2,46.9,0
ACC1243,Financial Services,452,50.9,Mid-Market,0,3.7,5,3,2,1,0,4,5,49.3,47.3,0
ACC1244,Technology,1684,267.5,Enterprise,0,3.0,5,3,0,1,0,1,2,57.9,31.9,0
ACC1245,Education,388,47.3,Mid-Market,0,5.1,9,2,1,1,0,2,1,31.3,39.1,0
ACC1246,Financial Services,162,38.2,Mid-Market,1,6.3,13,0,2,0,0,1,11,44.3,25.5,1
ACC1247,Education,244,33.4,Mid-Market,0,6.9,7,4,1,0,0,3,4,36.0,44.8,0
ACC1248,Education,48,11.6,SMB,0,6.0,9,5,1,1,0,2,3,31.3,55.9,1
ACC1249,Retail,536,91.5,Mid-Market,0,4.2,6,3,1,3,1,2,4,29.6,63.8,0
ACC1250,Technology,770,144.3,Mid-Market,0,6.2,9,1,2,2,0,2,8,60.4,39.3,0
ACC1251,Financial Services,135,23.3,Mid-Market,0,5.7,5,1,0,0,0,2,1,53.1,18.6,0
ACC1252,Retail,132,13.5,Mid-Market,0,7.4,7,2,0,1,0,4,32,36.7,26.0,0
ACC1253,Financial Services,345,49.6,Mid-Market,1,7.1,14,0,3,0,0,0,13,48.6,27.1,0
ACC1254,Technology,138,13.4,Mid-Market,0,5.6,5,2,1,2,0,3,0,52.8,41.5,0
ACC1255,Healthcare,224,41.6,Mid-Market,1,3.7,7,0,1,0,0,0,3,14.2,13.0,0
ACC1256,Education,3750,584.9,Enterprise,0,4.2,6,1,2,0,0,1,0,58.0,25.4,0
